status,code,url
KEEP,1493,https://app.estateweb.gr/app/property/54619
ORPHAN,4195,https://app.estateweb.gr/app/property/53780

KEEP,1775,https://app.estateweb.gr/app/property/54610
ORPHAN,4186,https://app.estateweb.gr/app/property/53771

KEEP,1566,https://app.estateweb.gr/app/property/54608
ORPHAN,4203,https://app.estateweb.gr/app/property/53788

KEEP,1702,https://app.estateweb.gr/app/property/54597
ORPHAN,4190,https://app.estateweb.gr/app/property/53775

KEEP,1731,https://app.estateweb.gr/app/property/54595
ORPHAN,4189,https://app.estateweb.gr/app/property/53774

KEEP,1740,https://app.estateweb.gr/app/property/54593
ORPHAN,4188,https://app.estateweb.gr/app/property/53773

KEEP,1819,https://app.estateweb.gr/app/property/54590
ORPHAN,4184,https://app.estateweb.gr/app/property/53769

KEEP,1960,https://app.estateweb.gr/app/property/54581
ORPHAN,4179,https://app.estateweb.gr/app/property/53764

KEEP,2004,https://app.estateweb.gr/app/property/54568
ORPHAN,4171,https://app.estateweb.gr/app/property/53756

KEEP,2073,https://app.estateweb.gr/app/property/54564
ORPHAN,4168,https://app.estateweb.gr/app/property/53753

KEEP,1933,https://app.estateweb.gr/app/property/54549
ORPHAN,4180,https://app.estateweb.gr/app/property/53765

KEEP,2039,https://app.estateweb.gr/app/property/54546
ORPHAN,4169,https://app.estateweb.gr/app/property/53754

KEEP,2047,https://app.estateweb.gr/app/property/54545
ORPHAN,4170,https://app.estateweb.gr/app/property/53755

KEEP,1551,https://app.estateweb.gr/app/property/54544
ORPHAN,4175,https://app.estateweb.gr/app/property/53760

KEEP,1564,https://app.estateweb.gr/app/property/54541
ORPHAN,4204,https://app.estateweb.gr/app/property/53789

KEEP,1567,https://app.estateweb.gr/app/property/54540
ORPHAN,4192,https://app.estateweb.gr/app/property/53777

KEEP,1688,https://app.estateweb.gr/app/property/54539
ORPHAN,4191,https://app.estateweb.gr/app/property/53776

KEEP,4947,https://app.estateweb.gr/app/property/54536
ORPHAN,4182,https://app.estateweb.gr/app/property/53767

KEEP,1288,https://app.estateweb.gr/app/property/54533
ORPHAN,4176,https://app.estateweb.gr/app/property/53761

KEEP,1608,https://app.estateweb.gr/app/property/54530
ORPHAN,4174,https://app.estateweb.gr/app/property/53759

KEEP,1213,https://app.estateweb.gr/app/property/54526
ORPHAN,4196,https://app.estateweb.gr/app/property/53781

KEEP,1741,https://app.estateweb.gr/app/property/54521
ORPHAN,4201,https://app.estateweb.gr/app/property/53786

KEEP,1762,https://app.estateweb.gr/app/property/54519
ORPHAN,4187,https://app.estateweb.gr/app/property/53772

KEEP,4927,https://app.estateweb.gr/app/property/54516
ORPHAN,4200,https://app.estateweb.gr/app/property/53785

KEEP,1813,https://app.estateweb.gr/app/property/54515
ORPHAN,4199,https://app.estateweb.gr/app/property/53784

KEEP,4925,https://app.estateweb.gr/app/property/54514
ORPHAN,4183,https://app.estateweb.gr/app/property/53768

KEEP,1785,https://app.estateweb.gr/app/property/54507
ORPHAN,4185,https://app.estateweb.gr/app/property/53770

KEEP,1968,https://app.estateweb.gr/app/property/54504
ORPHAN,4198,https://app.estateweb.gr/app/property/53783

KEEP,1979,https://app.estateweb.gr/app/property/54502
ORPHAN,4178,https://app.estateweb.gr/app/property/53763

KEEP,2016,https://app.estateweb.gr/app/property/54499
